Category,Event,Event Description,Надо переносить? (да/нет),Event Volume,Event Query Volume,Event First Seen,Event Last Seen,Event Number of Properties
Import Wizard,IW_Auth_Success,Успешная авторизация,нет,4338,348,25.12.2019,30.10.2022,2
Import Wizard,IW_Conditions_Shown,показ экрана с условиями использования,нет,448,0,17.01.2020,29.10.2022,0
Import Wizard,IW_Login_Shown,показ экрана с логином,нет,36105,346,25.12.2019,30.10.2022,3
Import Wizard,IW_SMS_Close_Click,нажатие на закрыть или крестик на экране с смс,нет,261,0,30.12.2019,29.10.2022,0
Origination,Origination_Access_Account_Shown,"При показе экрана ""Доступ к счету""",да,150,0,06.03.2020,28.10.2022,1
Origination,Origination_Added_Employee,При успешном добавлении сотрудника. Передаем вид доступа к счету для этого сотрудника,да,143,0,06.03.2020,28.10.2022,2
Origination,Origination_Added_Employee_Error,"При выскакивании попапа ""Выберете хотя бы один из способов доступа к счету""",да,8,0,13.03.2020,15.10.2022,1
Origination,Origination_Already_User,"При показе экрана ""Проверьте номер""",да,68296,12,10.02.2020,30.10.2022,0
Origination,Origination_Application_Main_Error,"При показе ошибки загрузки экрана статуса заявки ""Не смогли загрузить статус заявки""",да,564,0,26.02.2020,28.10.2022,2
Origination,Origination_Application_Main_Shown,При успешной загрузке экрана статуса заявки,да,396189,15,13.03.2020,30.10.2022,2
Origination,Origination_Company_Info_Shown,"При показе экрана ""Сведения о вашей компании""",да,42788,12,10.02.2020,30.10.2022,0
Origination,Origination_Data_Processing_Done,"При показе экрана ""Готово! Перейти к настройке доступа к счету..""",да,4806,9,10.02.2020,30.10.2022,1
Origination,Origination_Data_Processing_Shown,"При показе ""Отправляем заявки"" (первого экрана из карусели)",да,14484,12,10.02.2020,30.10.2022,1
Origination,Origination_Deleted_Employee,"При тапе на кнопку ""удалить сотрудника""",да,252,0,06.03.2020,30.10.2022,1
Origination,Origination_Denied_Shown,При показе любого из экранов отказа в открытии счета,да,7436,0,10.02.2020,30.10.2022,2
