"	Category","	Event","	Event Display Name","	Event Description","	Event Volume","	Event Query Volume","	Event Schema Status","	Event First Seen","	Event Last Seen","	Event Number of Properties","	Event Property","	Property Description","	Property Type","	Property Schema Status","	Property Is Required","	Property Is Array","	Property Enum Options","	Property Regex","	Property First Seen","	Property Last Seen"
"	Import Wizard","","","","","","","","","","","","","","","","","","",""
"","	IW_Auth_Success","","	Успешная авторизация","	4998","	208","	added","	2019-12-25","	2022-12-13","	2","","","","","","","","","",""
"","","","","","","","","","","	bank","	Название банка","	any","	added","	false","	false","","","	2019-12-25","	2022-12-13"
"","","","","","","","","","","	from","	из какого продукта/сервиса перешли в IW","	any","	added","	false","	false","","","	2019-07-07","	2022-12-13"
"","	IW_Conditions_Shown","","	показ экрана с условиями использования","	494","	0","	added","	2020-01-17","	2022-12-13","	0","","","","","","","","","",""
"","	IW_Login_Shown","","	показ экрана с логином","	40893","	218","	added","	2019-12-25","	2022-12-13","	3","","","","","","","","","",""
"","","","","","","","","","","	bank","	название банка","	any","	added","	false","	false","","","	2019-12-25","	2022-12-13"
"","","","","","","","","","","	from","	из какого продукта/сервиса перешли в IW","	any","	added","	false","	false","","","	2019-07-07","	2022-12-13"
"","","","","","","","","","","	status","	как попал на авторизацию","	any","	added","	false","	false","","","	2019-12-10","	2022-12-13"
"","	IW_SMS_Close_Click","","	нажатие на закрыть или крестик на экране с смс","	304","	0","	added","	2019-12-30","	2022-12-13","	0","","","","","","","","","",""
"	Origination","","","","","","","","","","","","","","","","","","",""
"","	Origination_Access_Account_Shown","","	При показе экрана ""Доступ к счету""","	175","	0","	added","	2020-03-06","	2022-12-13","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Added_Employee","","	При успешном добавлении сотрудника. Передаем вид доступа к счету для этого сотрудника","	169","	0","	added","	2020-03-06","	2022-12-13","	2","","","","","","","","","",""
"","","","","","","","","","","	accessType","","	any","	added","	false","	false","","","	2020-03-06","	2022-12-13"
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Added_Employee_Error","","	При выскакивании попапа ""Выберете хотя бы один из способов доступа к счету""","	6","	0","	added","	2020-03-13","	2022-11-25","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Already_User","","	При показе экрана ""Проверьте номер""","	73357","	6","	added","	2020-02-10","	2022-12-13","	0","","","","","","","","","",""
"","	Origination_Application_Main_Error","","	При показе ошибки загрузки экрана статуса заявки ""Не смогли загрузить статус заявки""","	637","	0","	added","	2020-02-26","	2022-12-13","	2","","","","","","","","","",""
"","","","","","","","","","","	applStatus","","	any","	added","	false","	false","","","	2020-02-26","	2022-12-13"
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Application_Main_Shown","","	При успешной загрузке экрана статуса заявки","	416085","	5","	added","	2020-03-13","	2022-12-13","	2","","","","","","","","","",""
"","","","","","","","","","","	applStatus","","	any","	added","	false","	false","","","	2020-02-26","	2022-12-13"
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Company_Info_Shown","","	При показе экрана ""Сведения о вашей компании""","	42920","	4","	added","	2020-02-10","	2022-12-13","	0","","","","","","","","","",""
"","	Origination_Data_Processing_Done","","	При показе экрана ""Готово! Перейти к настройке доступа к счету..""","	4842","	2","	added","	2020-02-10","	2022-12-13","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Data_Processing_Shown","","	При показе ""Отправляем заявки"" (первого экрана из карусели)","	14818","	3","	added","	2020-02-10","	2022-12-13","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Deleted_Employee","","	При тапе на кнопку ""удалить сотрудника""","	269","	0","	added","	2020-03-06","	2022-12-13","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Denied_Shown","","	При показе любого из экранов отказа в открытии счета","	7539","	0","	added","	2020-02-10","	2022-12-13","	2","","","","","","","","","",""
"","","","","","","","","","","	deniedReason","","	any","	added","	false","	false","","","	2020-02-10","	2022-12-13"
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Doc_Upload_Empty_Document_Error","","	При показе ошибки ""Загрузите все документы перед отправкой..."" (при тапе на кнопку ""Отправить в банк"", когда загружены не все документы)","	3222","	0","	added","	2020-03-17","	2022-12-13","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Doc_Upload_List_Shown","","	При показе экрана списка файлов по конкретному документов","	837","	0","	added","	2020-03-06","	2022-12-13","	2","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","","","","","","","","","","	type","","	any","	added","	false","	false","","","	2019-11-22","	2022-12-13"
"","	Origination_Doc_Upload_Loading_Type","","	При тапе на одну из кнопок типа загрузки ""Из файлового менеджера"" и ""Снять или выбрать фото""","	44321","	0","	added","	2020-03-06","	2022-12-13","	2","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","","","","","","","","","","	method","","	any","	added","	false","	false","","","	2020-03-06","	2022-12-13"
"","	Origination_Doc_Upload_Main_Shown","","	При показе основного экрана загрузки документов","	81355","	1","	added","	2020-03-06","	2022-12-13","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Doc_Upload_Sent","","	При успешной отправке документов (финальный экран)","	14757","	6","	added","	2020-03-06","	2022-12-13","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Employee_Shown","","	При показе экрана Сотрудники (список добавленных сотрудников)","	1737","	0","	added","	2020-03-06","	2022-12-13","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_File_Delete","","	При успешном удалении файлов (успешно отработал метод)","	2414","	0","	added","	2020-03-18","	2022-12-13","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_File_Upload","","	При успешной загрузке файла (успешно отработал метод бэка)","	48116","	0","	added","	2020-03-06","	2022-12-13","	2","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","","","","","","","","","","	type","","	any","	added","	false","	false","","","	2019-11-22","	2022-12-13"
"","	Origination_File_Upload_Error","","	При показе ошибки метода загрузки файла","	794","	0","	added","	2020-03-06","	2022-12-13","	2","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","","","","","","","","","","	type","","	any","	added","	false","	false","","","	2019-11-22","	2022-12-13"
"","	Origination_Foreign_Number","","	При показе экрана ""Мы не знакомы""","	1940","	0","	added","	2020-02-12","	2022-12-13","	0","","","","","","","","","",""
"","	Origination_Meeting_Add_To_Calendar","","	При тапе на кнопку ""Добавить в календарь""","	45","	0","	added","	2020-03-17","	2022-12-07","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Meeting_Addresses_Shown","","	При отображении экрана ""Выбор адреса""","	172","	0","	added","	2020-03-06","	2022-12-13","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Meeting_Details_Shown","","	При показе экрана ""Встреча. Детали встречи""","	362","	0","	added","	2020-03-06","	2022-12-13","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Meeting_Done","","	При успешном назначении встречи (финальный оффер)","	93","	0","	added","	2020-03-06","	2022-12-07","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Meeting_Gray_Zone_Error","","	При отображении плашки ""Не осуществляем доставку по указанному адресу""","	11","	0","	added","	2020-03-06","	2022-11-25","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Meeting_Gray_Zone_Сhoice","","	При тапе на одну из кнопок выбрать на плашке ""Не осуществляем доставку по указанному адресу""","	13","	0","	added","	2020-03-06","	2022-11-25","	2","","","","","","","","","",""
"","","","","","","","","","","	button","","	any","	added","	false","	false","","","	2019-07-07","	2022-12-13"
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Meeting_Members_Shown","","	При показе экрана ""Встреча. Участники встречи""","	206","	0","	added","	2020-03-06","	2022-12-13","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Meeting_New_Address_Type","","	При изменении типа адреса (только у ООО). Передаем выбранный адрес","	20","	0","	added","	2020-03-17","	2022-12-13","	2","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","","","","","","","","","","	type","","	any","	added","	false","	false","","","	2019-11-22","	2022-12-13"
"","	Origination_Photo_Passport_Done","","	При успешном скане паспорта (успешным считаем автозаполнение хотя бы одно поля ПД)","	5744","	0","	added","	2020-03-06","	2022-12-13","	2","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","","","","","","","","","","	who","","	any","	added","	false","	false","","","	2020-03-06","	2022-12-13"
"","	Origination_Prepare_Passport_Shown","","	При показе заглушки ""Приготовьте паспорт""","	4","	0","	added","	2020-03-06","	2022-12-08","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Print_Passport_Info_Error","","	При ошибке валидации при вводе данных паспорта вручную. Передаем поля, которые не прошли валидацию","	11335","	0","	added","	2020-03-06","	2022-12-13","	2","","","","","","","","","",""
"","","","","","","","","","","	fieldType","","	any","	added","	false","	false","","","	2019-12-16","	2022-12-13"
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Print_Passport_Shown","","	При показе экрана Паспортных данных","	27954","	0","	added","	2020-03-06","	2022-12-13","	2","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","","","","","","","","","","	who","","	any","	added","	false","	false","","","	2020-03-06","	2022-12-13"
"","	Origination_Scan_Passport","","	При тапе клиента на кнопку ""Отсканировать паспорт"" (т.к. не можем определять отрылась сканировалка паспорта или нет)","	7071","	0","	added","	2020-03-06","	2022-12-13","	2","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","","","","","","","","","","	who","","	any","	added","	false","	false","","","	2020-03-06","	2022-12-13"
"","	Origination_Signing_Document_Done","","	При успешном подписании документа","	21758","	7","	added","	2020-03-02","	2022-12-13","	3","","","","","","","","","",""
"","","","","","","","","","","	document","","	any","	added","	false","	false","","","	2020-03-01","	2022-12-13"
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","","","","","","","","","","	type","","	any","	added","	false","	false","","","	2019-11-22","	2022-12-13"
"","	Origination_Signing_Document_Shown","","	При показе pdf конкретного документа","	26535","	0","	added","	2020-03-01","	2022-12-13","	3","","","","","","","","","",""
"","","","","","","","","","","	document","","	any","	added","	false","	false","","","	2020-03-01","	2022-12-13"
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","","","","","","","","","","	type","","	any","	added","	false","	false","","","	2019-11-22","	2022-12-13"
"","	Origination_Signing_Offer_Shown","","	При показе оффера Подпишите документы / Подпиши конкретный документ","	11293","	1","	added","	2020-03-02","	2022-12-13","	2","","","","","","","","","",""
"","","","","","","","","","","	documents","","	any","	added","	false","	false","","","	2020-03-01","	2022-12-13"
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Signing_Sign","","	При тапе на кнопку Подписать (т.к. не можем отправить событие выше)","	23339","	4","	added","	2020-03-02","	2022-12-13","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"","	Origination_Tax_System_Error_Shown","","	При ошибке на экране системы налогообложения","	4639","	0","	added","	2020-02-10","	2022-12-13","	1","","","","","","","","","",""
"","","","","","","","","","","	errorReason","","	any","	added","	false","	false","","","	2020-02-10","	2022-12-13"
"","	Origination_Tax_System_Shown","","	При показе экрана ""Ваша система налогообложения""","	39102","	4","	added","	2020-02-10","	2022-12-13","	0","","","","","","","","","",""
"","	Origination_Welcome_To_TB_Shown","","	При показе экрана ""Добро пожаловать в Тинькофф Бизнес""","	0","	0","	added","	2020-03-06","	2022-09-12","	1","","","","","","","","","",""
"","","","","","","","","","","	id","","	any","	added","	false","	false","","","	2020-01-17","	2022-12-13"
"	Stories","","","","","","","","","","","","","","","","","","",""
"","	Story_Action","","	При любом действии внутри истории (переход по диплинку или вебвью)","	41007","	162","	added","	2020-04-30","	2022-12-13","	7","","","","","","","","","",""
"","","","","","","","","","","	action_kind","","	any","	added","	false","	false","","","	2021-09-02","	2022-12-13"
"","","","","","","","","","","	actionType","","	any","	added","	false","	false","","","	2019-11-18","	2022-12-13"
"","","","","","","","","","","	block_guid","","	any","	added","	false","	false","","","	2021-09-02","	2022-12-13"
"","","","","","","","","","","	blockGuid","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	step","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	storyId","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	text","","	any","	added","	false","	false","","","	2019-07-08","	2022-12-13"
"","	Story_Closed","","	При закрытии истории","	944016","	143","	added","	2020-04-30","	2022-12-13","	5","","","","","","","","","",""
"","","","","","","","","","","	name","","	any","	added","	false","	false","","","	2020-10-12","	2022-12-13"
"","","","","","","","","","","	step","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	storyId","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	time","","	any","	added","	false","	false","","","	2021-09-09","	2022-12-13"
"","","","","","","","","","","	type","","	any","	added","	false","	false","","","	2019-11-22","	2022-12-13"
"","	Story_Disliked","","	При дизлайке истории","	281","	105","	added","	2020-05-07","	2022-12-13","	3","","","","","","","","","",""
"","","","","","","","","","","	name","","	any","	added","	false","	false","","","	2020-10-12","	2022-12-13"
"","","","","","","","","","","	step","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	storyId","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","	Story_Last_Step_Shown","","	При показе последнего шага истории","	10825","	56","	added","	2020-04-30","	2022-12-13","	2","","","","","","","","","",""
"","","","","","","","","","","	stepCount","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	storyId","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","	Story_Liked","","	При лайке истории","	2706","	119","	added","	2020-05-07","	2022-12-13","	3","","","","","","","","","",""
"","","","","","","","","","","	name","","	any","	added","	false","	false","","","	2020-10-12","	2022-12-13"
"","","","","","","","","","","	step","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	storyId","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","	Story_Saved","","	При сохранении истории","	5620","	109","	added","	2020-04-30","	2022-12-13","	3","","","","","","","","","",""
"","","","","","","","","","","	name","","	any","	added","	false","	false","","","	2020-10-12","	2022-12-13"
"","","","","","","","","","","	step","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	storyId","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","	Story_Shared","","	При шаринге истории","	5","	34","	added","	2020-05-06","	2022-11-30","	5","","","","","","","","","",""
"","","","","","","","","","","	app_name","","	any","	added","	false","	false","","","	2021-09-03","	2022-12-13"
"","","","","","","","","","","	appName","	приложение, в которое пошарили","	any","	added","	false","	false","","","	2020-05-06","	2022-11-30"
"","","","","","","","","","","	name","","	any","	added","	false","	false","","","	2020-10-12","	2022-12-13"
"","","","","","","","","","","	step","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	storyId","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","	Story_Shown","","	При показе истории","	1883539","	1948","	added","	2020-04-30","	2022-12-13","	16","","","","","","","","","",""
"","","","","","","","","","","	category","","	any","	added","	false","	false","","","	2019-12-18","	2022-12-13"
"","","","","","","","","","","	deeplink_source","","	any","	added","	false","	false","","","	2021-12-02","	2022-12-13"
"","","","","","","","","","","	first","","	any","	added","	false","	false","","","	2021-08-30","	2022-12-13"
"","","","","","","","","","","	is_commentable","","	any","	added","	false","	false","","","	2022-11-16","	2022-12-13"
"","","","","","","","","","","	name","","	any","	added","	false","	false","","","	2020-10-12","	2022-12-13"
"","","","","","","","","","","	popup","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	screen","","	any","	added","	false","	false","","","	2020-09-23","	2022-12-13"
"","","","","","","","","","","	serial_number","","	any","	added","	false","	false","","","	2021-08-30","	2022-12-13"
"","","","","","","","","","","	shownBy","","	any","	added","	false","	false","","","	2020-05-06","	2022-12-13"
"","","","","","","","","","","	sound","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	step","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	stepCount","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	storyId","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	style","","	any","	added","	false","	false","","","	2021-08-30","	2022-12-13"
"","","","","","","","","","","	time","","	any","	added","	false","	false","","","	2021-09-09","	2022-12-13"
"","","","","","","","","","","	videoPreview","","	any","	added","	false","	false","","","	2021-08-30","	2022-12-13"
"","	Story_Sound_Action","","	При включении/выключении звука в истории","	3933","	0","	added","	2020-05-06","	2022-12-13","	3","","","","","","","","","",""
"","","","","","","","","","","	action","","	any","	added","	false","	false","","","	2019-08-14","	2022-12-13"
"","","","","","","","","","","	storyId","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	tap","","	any","	added","	false","	false","","","	2020-05-06","	2022-12-13"
"","	Story_Step_Shown","","	При показе шага истории (кроме первого и последнего)","	2249992","	106","	added","	2020-05-06","	2022-12-13","	4","","","","","","","","","",""
"","","","","","","","","","","	step","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	storyId","","	any","	added","	false","	false","","","	2020-04-30","	2022-12-13"
"","","","","","","","","","","	storyName","","	any","	added","	false","	false","","","	2021-07-22","	2022-12-13"
"","","","","","","","","","","	time","","	any","	added","	false","	false","","","	2021-09-09","	2022-12-13"
"","	Story_Unsaved","","	При удалении истории из сохраненных","	536","	22","	added","	2020-05-07","	2022-12-13","	3","","","","","","","","","",""
