month_dt,event_type,persons,sessions,events
2022-05-01,Просмотр деталей операций,8096,9638,11860
2022-05-01,Перевод(вывод) со счета ИП на счет физлица (внутри МБ физлиц),24877,46415,46962
2022-06-01,Нажатие на кнопку Бизнес-Карт,609,642,659
2022-04-01,null,6613444,17391040,19999440
2022-04-01,Нажатие на кнопку Бизнес-Карт,1297,1372,1427
2022-05-01,null,6043972,14548154,16731779
2022-06-01,Просмотр реквизитов счета,1444,1492,1539
2022-05-01,Нажатие на кнопку Бизнес-Карт,988,1071,1126
2022-06-01,Пополнение счета ИП со счета физлица (внутри МБ физлиц),3039,3542,3592
2022-04-01,Просмотр деталей операций,10036,12221,14743
2022-06-01,Перевод(вывод) со счета ИП на счет физлица (внутри МБ физлиц),17124,27044,27365
2022-06-01,Нажатие на кнопку "В Тинькофф Бизнес",452,525,545
2022-06-01,null,4386668,8207845,9441208
2022-05-01,Нажатие на кнопку "В Тинькофф Бизнес",1200,1369,1410
2022-05-01,Просмотр реквизитов счета,2287,2404,2468
2022-04-01,Нажатие на кнопку "В Тинькофф Бизнес",8050,9657,9976
2022-04-01,Пополнение счета ИП со счета физлица (внутри МБ физлиц),6856,8597,8767
2022-06-01,Просмотр деталей операций,5109,5836,7186
2022-05-01,Пополнение счета ИП со счета физлица (внутри МБ физлиц),4987,6228,6326
2022-04-01,Перевод(вывод) со счета ИП на счет физлица (внутри МБ физлиц),26912,51263,51923
2022-04-01,Просмотр реквизитов счета,3265,3478,3590
