day_dt,persons,sessions,events
2022-04-01 00:00:00,2167,2436,2680
2022-04-02 00:00:00,1417,1539,1710
2022-04-03 00:00:00,1448,1565,1706
2022-04-04 00:00:00,1824,2018,2272
2022-04-05 00:00:00,909,969,1077
2022-04-06 00:00:00,890,943,1035
2022-04-07 00:00:00,963,1029,1161
2022-04-08 00:00:00,841,908,1005
2022-04-09 00:00:00,1320,1454,1595
2022-04-10 00:00:00,1257,1365,1485
2022-04-11 00:00:00,1053,1152,1250
2022-04-12 00:00:00,1263,1379,1530
2022-04-13 00:00:00,1647,1848,2027
2022-04-14 00:00:00,1102,1199,1329
2022-04-15 00:00:00,695,745,831
2022-04-16 00:00:00,1219,1330,1499
2022-04-17 00:00:00,1178,1272,1410
2022-04-18 00:00:00,1621,1804,2005
2022-04-19 00:00:00,1651,1822,2031
2022-04-20 00:00:00,953,1020,1138
2022-04-21 00:00:00,1063,1139,1268
2022-04-22 00:00:00,1154,1260,1382
2022-04-23 00:00:00,1032,1161,1296
2022-04-24 00:00:00,1020,1117,1273
2022-04-25 00:00:00,935,1045,1186
2022-04-26 00:00:00,599,653,734
2022-04-27 00:00:00,283,296,327
2022-04-28 00:00:00,256,277,303
2022-04-29 00:00:00,175,186,208
2022-04-30 00:00:00,317,335,374
