,metric_type,month_dt,yellow_users,variable,value
0,transfer_data,2022-01-01,2365,share_yellow_actions,0.0041824005833485
1,transfer_data,2022-02-01,4375,share_yellow_actions,0.0044100082909605
2,transfer_data,2022-03-01,7050,share_yellow_actions,0.0055124812186464
3,transfer_data,2022-04-01,3702,share_yellow_actions,0.0038180433139881
4,transfer_data,2022-05-01,2425,share_yellow_actions,0.0028718258766626
5,transfer_data,2022-06-01,2383,share_yellow_actions,0.0021854848426388
6,no_transfer_data,2022-01-01,24104,share_yellow_actions,0.181441511243935
7,no_transfer_data,2022-02-01,40455,share_yellow_actions,0.194811930349612
8,no_transfer_data,2022-03-01,50808,share_yellow_actions,0.215817799330789
9,no_transfer_data,2022-04-01,33097,share_yellow_actions,0.169757623069764
10,no_transfer_data,2022-05-01,26927,share_yellow_actions,0.169271572231995
11,no_transfer_data,2022-06-01,23608,share_yellow_actions,0.113520865648421
12,total,2022-01-01,26469,share_yellow_actions,0.0504217937180888
13,total,2022-02-01,44830,share_yellow_actions,0.0528228160062261
14,total,2022-03-01,57858,share_yellow_actions,0.0558378149706952
15,total,2022-04-01,36799,share_yellow_actions,0.0446384547557356
16,total,2022-05-01,29352,share_yellow_actions,0.0419290592005227
17,total,2022-06-01,25991,share_yellow_actions,0.0278146668217883
18,transfer_data,2022-07-01,2898,share_yellow_actions,0.0027780579651671
19,transfer_data,2022-08-01,4052,share_yellow_actions,0.0071735812404606
20,transfer_data,2022-09-01,2062,share_yellow_actions,0.0058109166884304
21,transfer_data,2022-10-01,754,share_yellow_actions,0.0045130537028995
22,no_transfer_data,2022-07-01,24065,share_yellow_actions,0.106054094991724
23,no_transfer_data,2022-08-01,36929,share_yellow_actions,0.179071597503162
24,no_transfer_data,2022-09-01,33216,share_yellow_actions,0.129545863579099
25,no_transfer_data,2022-10-01,15795,share_yellow_actions,0.11215737866971
26,total,2022-07-01,26963,share_yellow_actions,0.0283599219677943
27,total,2022-08-01,40981,share_yellow_actions,0.0710606388450982
28,total,2022-09-01,35278,share_yellow_actions,0.0750305639589796
29,total,2022-10-01,16549,share_yellow_actions,0.0662044201541701
30,transfer_data,2022-01-01,2365,share_yellow_sessions,0.0070380955216178
31,transfer_data,2022-02-01,4375,share_yellow_sessions,0.0075174817835407
32,transfer_data,2022-03-01,7050,share_yellow_sessions,0.0095334063432199
33,transfer_data,2022-04-01,3702,share_yellow_sessions,0.0059502236743172
34,transfer_data,2022-05-01,2425,share_yellow_sessions,0.0043995725593089
35,transfer_data,2022-06-01,2383,share_yellow_sessions,0.0033360293570583
36,no_transfer_data,2022-01-01,24104,share_yellow_sessions,0.155485258069375
37,no_transfer_data,2022-02-01,40455,share_yellow_sessions,0.164411987920795
38,no_transfer_data,2022-03-01,50808,share_yellow_sessions,0.180814636444765
39,no_transfer_data,2022-04-01,33097,share_yellow_sessions,0.139387348196484
40,no_transfer_data,2022-05-01,26927,share_yellow_sessions,0.136151384952921
41,no_transfer_data,2022-06-01,23608,share_yellow_sessions,0.0898835032303566
42,total,2022-01-01,26469,share_yellow_sessions,0.0593077997495825
43,total,2022-02-01,44830,share_yellow_sessions,0.061688748972694
44,total,2022-03-01,57858,share_yellow_sessions,0.0664293220604262
45,total,2022-04-01,36799,share_yellow_sessions,0.0486155510519862
46,total,2022-05-01,29352,share_yellow_sessions,0.0438798721932704
47,total,2022-06-01,25991,share_yellow_sessions,0.0290917857049536
48,transfer_data,2022-07-01,2898,share_yellow_sessions,0.0041435909547145
49,transfer_data,2022-08-01,4052,share_yellow_sessions,0.0110307959566959
50,transfer_data,2022-09-01,2062,share_yellow_sessions,0.0103099953057357
51,transfer_data,2022-10-01,754,share_yellow_sessions,0.0082849029526417
52,no_transfer_data,2022-07-01,24065,share_yellow_sessions,0.0866290068038587
53,no_transfer_data,2022-08-01,36929,share_yellow_sessions,0.162803223632289
54,no_transfer_data,2022-09-01,33216,share_yellow_sessions,0.123932518210716
55,no_transfer_data,2022-10-01,15795,share_yellow_sessions,0.109452736318408
56,total,2022-07-01,26963,share_yellow_sessions,0.0298184574494906
57,total,2022-08-01,40981,share_yellow_sessions,0.0767848519221482
58,total,2022-09-01,35278,share_yellow_sessions,0.0825362640146956
59,total,2022-10-01,16549,share_yellow_sessions,0.0738965419795173
60,transfer_data,2022-01-01,2365,share_yellow_users,0.0159101764583207
61,transfer_data,2022-02-01,4375,share_yellow_users,0.0213488574091515
