month_dt;event_type_code;mdm_party_rk;amplitude_session_id;program_product_event_id
2022-01-01;AML_Popup_Remind;15;17;24
2022-01-01;AML_about;3;3;4
2022-01-01;AML_express_payment;6;7;7
2022-01-01;AML_send;5;6;6
2022-01-01;ASTariff_Close;1;1;1
2022-01-01;ASTariff_EmployeesQuestion_Close;10;10;11
2022-01-01;ASTariff_EmployeesQuestion_Continue;124;126;139
2022-01-01;ASTariff_EmployeesQuestion_No;14;14;15
2022-01-01;ASTariff_EmployeesQuestion_Shown;130;132;152
2022-01-01;ASTariff_EmployeesQuestion_ToBack;24;24;27
2022-01-01;ASTariff_EmployeesQuestion_Yes;10;10;10
2022-01-01;ASTariff_Shown;2;2;2
2022-01-01;ASTariff_TaxSys_Close;48;48;53
2022-01-01;ASTariff_TaxSys_Continue;140;142;183
2022-01-01;ASTariff_TaxSys_SelectOne;155;157;263
2022-01-01;ASTariff_TaxSys_Shown;178;182;212
2022-01-01;ASTariff_TaxSys_UnselectOne;35;35;66
2022-01-01;ASTariff_TaxSys_UnsupportedDialog_Notify_Clicked;9;9;18
2022-01-01;ASTariff_TaxSys_UnsupportedDialog_Shown;35;35;69
2022-01-01;AboutCompany_Change_Open;45;51;223
2022-01-01;AboutCompany_FinancialMonitoringDoc_Open;11;16;20
2022-01-01;AboutCompany_Shown;56;65;74
2022-01-01;AccChoose_Shown;1;1;1
2022-01-01;AccChoose_ToBack;1;1;1
2022-01-01;Accept_Paymentrequest_mb;1;1;2
2022-01-01;Access_Denied_Shown;2;2;2
2022-01-01;Accessibility;1958;2644;3068
2022-01-01;Accessibility_On;2385;3363;3779
2022-01-01;Account_Details_Shown;3693;4184;8281
2022-01-01;Accounts_Button_Click;6178;7470;13010
2022-01-01;Accounts_Details_Item_Click;1391;1542;2446
2022-01-01;Accounts_Replenish_Cash_Shown;489;525;840
2022-01-01;Accounts_Replenish_FL_Sent;444;458;483
2022-01-01;Accounts_Replenish_FL_Shown;644;687;1007
2022-01-01;Accounts_Replenish_List;1211;1331;1912
2022-01-01;Accounts_Shown;17307;25544;75343
2022-01-01;Add_Favorite;76;76;81
2022-01-01;Add_document_click;3;3;4
2022-01-01;Aggregate_Explanation_Click;6;6;7
2022-01-01;Aggregate_Go_Down;32;32;405
2022-01-01;Aggregate_Shown;225;247;513
2022-01-01;Analytics_Shown;478;507;728
2022-01-01;Analytics_Tab_Switch;175;183;280
2022-01-01;Appearance_Theme_Choose;58;59;82
2022-01-01;Appearance_Toggle_Tap;108;110;148
2022-01-01;Arrest_Click_Call_MB;20;20;24
2022-01-01;Arrest_Click_Requisites_MB;227;289;400
2022-01-01;Arrest_Click_URL_MB;41;43;48
2022-01-01;Arrest_Show_Detail_MB;553;705;1416
2022-01-01;Arrest_Show_List_MB;267;326;690
2022-01-01;Auth_Priority_Account_Shown;363;418;797
2022-01-01;BC_AccountChoice_Shown;3;3;4
2022-01-01;BC_Account_Chosen;2;2;3
2022-01-01;BC_All_List_Shown;441;527;965
2022-01-01;BC_CardDetails_Shown;77;88;141
2022-01-01;BC_CardPage_Scroll;797;849;955
2022-01-01;BC_CardPage_Search;35;37;38
2022-01-01;BC_CardRename_Btn;253;262;313
2022-01-01;BC_CardRename_Save;59;60;72
2022-01-01;BC_Card_Shown_Btns_Click;428;441;523
2022-01-01;BC_Issue_Conf_Done;21;21;21
2022-01-01;BC_Issue_Conf_Shown;35;38;38
2022-01-01;BC_Limits_Change_Shown;130;141;204
2022-01-01;BC_More_Shown;2990;3464;5483
2022-01-01;BC_NewLimits_Cash;33;34;40
2022-01-01;BC_NewLimits_Merch;63;69;81
2022-01-01;BC_Offer_Currency_Card_Shown;2;2;2
2022-01-01;BC_Onboard_More;75;75;75
2022-01-01;BC_Onboard_More_Click;56;56;56
2022-01-01;BC_Onboard_Pin;82;82;82
2022-01-01;BC_Onboard_Pin_Click;46;46;46
2022-01-01;BC_Onboard_Ready;187;187;190
2022-01-01;BC_Onboard_Ready_Click;105;105;105
2022-01-01;BC_Onboard_Wallet;101;101;102
2022-01-01;BC_Onboard_Wallet_Click;24;24;24
2022-01-01;BC_Onboard_Wallet_Return;16;16;16
2022-01-01;BC_Onboard_Wallet_Success;19;19;19
2022-01-01;BC_ReissueBlocked_Btn_Click;123;133;171
2022-01-01;BC_ReissuePlastic_Popup_Shown;138;150;190
2022-01-01;BC_ReissueVirtualAddToWallet_Btn_Click;13;13;13
2022-01-01;BC_ReissueVirtualNorm_Popup_Shown;2;2;2
2022-01-01;BC_ReissueVirtualReady_Shown;1;1;1
2022-01-01;BK_Action_Set;436;458;610
2022-01-01;BK_Card_Actions_Shown;1546;1697;2340
2022-01-01;BK_Card_Shown;4529;5259;13184
2022-01-01;BK_Category_Set;21;23;25
2022-01-01;BK_Category_Shown;136;142;168
2022-01-01;BK_Fail_Pin_Shown;11;11;13
2022-01-01;BK_Issue_Block_Shown;32;32;35
2022-01-01;BK_Issue_Card_Set;168;182;215
2022-01-01;BK_Issue_Cardtype_set;95;100;112
2022-01-01;BK_Issue_People_set;122;128;153
2022-01-01;BK_Issue_Success_Shown;72;74;97
2022-01-01;BK_MainPage_Cards;3923;4428;5922
2022-01-01;BK_MainPage_ShowCards;2484;2690;4001
2022-01-01;BK_Pin_Offer_Shown;229;229;229
2022-01-01;BK_Pin_Set;537;539;555
2022-01-01;BK_Spending_Preference_Shown;947;1026;1473
2022-01-01;BK_Success_Pin_Shown;516;517;525
2022-01-01;BK_offer_virtual_card;1;1;1
2022-01-01;Bank_Call_Internet;71;73;90
2022-01-01;Bank_Call_Number;28;30;33
2022-01-01;Biometrics_Setup_Success;143;143;143
2022-01-01;Biometrics_Shown;174;175;175
2022-01-01;Biometrics_Skipped;38;39;39
2022-01-01;C2CPayment.failureScreen.load.success;1;1;1
2022-01-01;C2CPayment.formScreen.load.success;116;131;185
2022-01-01;C2CPayment.formScreen.send.error;4;5;9
2022-01-01;C2CPayment.formScreen.send.success;28;36;43
2022-01-01;C2CPayment.formScreen.sendToSign.success;1;1;1
2022-01-01;C2CPayment.formScreen.submitted;29;39;53
2022-01-01;C2CPayment.noAccounts?Screen.load.success;5;5;5
2022-01-01;C2CPayment.noAccountsScreen.load.success;5;5;6
2022-01-01;C2CPayment.noCardsScreen.load.success;1;1;1
2022-01-01;Card_Input_Change;1;1;1
2022-01-01;Card_Input_NFC_Shown;7;7;7
2022-01-01;Card_Input_No_Card;5;5;5
2022-01-01;Card_Input_No_Card_Button_Tap;1;1;1
2022-01-01;Card_Input_Scan;6;6;6
2022-01-01;Card_Input_Shown;32;32;38
2022-01-01;Cashbox_Open_Sent;17;17;17
2022-01-01;Cashbox_Open_Shown;71;71;80
2022-01-01;Cashbox_Setting_Accounts;3;3;4
2022-01-01;Cashbox_Setting_Percent;25;28;43
2022-01-01;Change_Questionnaire_answers;4;4;7
2022-01-01;ChatHelp_QuestionGroups_Shown;8;9;13
2022-01-01;ChatHelp_QuestionPage_Shown;4;4;7
2022-01-01;ChatHelp_QuestionPage_SuccessButton;3;3;5
2022-01-01;ChatHelp_Shown;18;21;48
2022-01-01;ChatSearch_Result;6;6;23
2022-01-01;Chat_Closed;3673;4468;7876
2022-01-01;Chat_Conversation_Closed;3508;4846;6085
2022-01-01;Chat_Hint_Tap;537;545;944
2022-01-01;Chat_Hints_Shown;12670;19217;42085
2022-01-01;Chat_Rated;2;2;2
2022-01-01;Chat_Shown;7169;9465;26100
2022-01-01;ClosingDocs_Change_Btn_Click;2;2;5
2022-01-01;ClosingDocs_Create_Btn_Click;45;47;69
2022-01-01;ClosingDocs_Create_Goods_And_Services_Shown;13;14;22
2022-01-01;ClosingDocs_Create_Seller_Buyer_Data_Shown;22;24;55
2022-01-01;ClosingDocs_Created;25;26;36
2022-01-01;ClosingDocs_Delete;2;2;2
2022-01-01;ClosingDocs_Details_Shown;18;20;41
2022-01-01;ClosingDocs_Good_And_Service_Added;5;6;7
2022-01-01;ClosingDocs_Good_And_Service_Edit_Error;1;2;2
2022-01-01;ClosingDocs_Good_And_Service_Edit_Shown;6;7;9
2022-01-01;ClosingDocs_Goods_And_Services_Shown;6;7;9
2022-01-01;ClosingDocs_Info_Shown;15;17;30
2022-01-01;ClosingDocs_Shown;203;212;522
2022-01-01;CompanyUserAccess_OpenChat;4;5;10
2022-01-01;CompanyUserAccess_Shown;13;13;19
2022-01-01;CompanyUserTicket_Shown;22;22;29
2022-01-01;CompanyUser_PasswordSent;1;1;1
2022-01-01;CompanyUsers_Add;20;22;44
2022-01-01;CompanyUsers_Shown;110;111;127
2022-01-01;Company_Change_Done;327;456;1652
2022-01-01;Company_Change_Shown;144;196;272
2022-01-01;Copying_Buffer_Closed;120;121;124
2022-01-01;Copying_Buffer_Parsing;5378;6539;6756
2022-01-01;Copying_Buffer_Shown;142;143;154
2022-01-01;Counterpartry_Account_Req;23;24;35
2022-01-01;Counterparty_Action_Sheet_Shown;2;2;6
2022-01-01;Counterparty_All_Shown;256;278;316
2022-01-01;Counterparty_Check_ArbitrationCases_Go_Down;1;1;1
2022-01-01;Counterparty_Check_ArbitrationCases_Shown;5;5;13
2022-01-01;Counterparty_Check_Contacts_Go_Down;1;1;1
2022-01-01;Counterparty_Check_Contacts_Shown;1;1;1
2022-01-01;Counterparty_Check_Counterparty_Go_Down;11;11;42
2022-01-01;Counterparty_Check_Counterparty_Shown;12;12;29
2022-01-01;Counterparty_Check_Hint_Click;6;6;14
2022-01-01;Counterparty_Check_Important_Go_Down;7;7;9
2022-01-01;Counterparty_Check_Important_Shown;10;10;27
2022-01-01;Counterparty_Check_Main_Shown;39;40;48
2022-01-01;Counterparty_Check_NewInvoice_Click;2;2;2
2022-01-01;Counterparty_Check_NewPayment_Click;2;2;2
2022-01-01;Counterparty_Check_NotFound_Shown;9;9;29
2022-01-01;Counterparty_Check_OKVEDList_Go_Down;5;5;7
2022-01-01;Counterparty_Check_OKVEDList_Shown;6;6;10
2022-01-01;Counterparty_Check_Requsites_Go_Down;7;7;10
2022-01-01;Counterparty_Check_Requsites_Shown;7;7;10
2022-01-01;Counterparty_Check_Search_Change;14;14;159
2022-01-01;Counterparty_Favourite_Shown;485;521;603
2022-01-01;Counterparty_Info_Shown;184;208;381
2022-01-01;Counterparty_Main_Shown;214;221;282
2022-01-01;Counterparty_MyCounterparties_Shown;17;17;17
2022-01-01;Create_Shown;41;61;116
2022-01-01;Currency_Contract_Check_Click;2;2;2
2022-01-01;Currency_Contract_Close_Shown;2;2;5
2022-01-01;Currency_Contract_Completion_Date_Shown;2;2;2
2022-01-01;Currency_Contract_Conclusion_Date_Shown;5;5;6
2022-01-01;Currency_Contract_Counterparty_Country;2;2;2
2022-01-01;Currency_Contract_Counterparty_Shown;2;2;2
2022-01-01;Currency_Contract_Currency_Next;2;2;2
2022-01-01;Currency_Contract_Details_Change_Btn_Click;2;2;2
2022-01-01;Currency_Contract_Details_Shown;7;7;9
2022-01-01;Currency_Contract_Docs_Next;1;1;1
2022-01-01;Currency_Contract_Docs_Onboard_Shown;1;1;1
2022-01-01;Currency_Contract_Edit_Btn_Click;2;2;3
2022-01-01;Currency_Contract_Edit_Shown;1;1;1
2022-01-01;Currency_Contract_Final_Onboard_Shown;3;3;3
2022-01-01;Currency_Contract_Load_Documents_Btn_Click;1;1;1
