iteration,users,start_in_yellow
697,80,0
537,187,0
2657,1,0
436,326,0
2199,3,0
175,2499,0
2460,3,0
1677,5,0
2476,3,0
2918,1,0
276,979,0
798,49,0
2737,1,0
1938,3,0
1416,5,0
15,47628,80
958,31,0
1155,16,0
2145,3,0
1245,12,0
446,303,0
1442,5,0
185,2230,0
687,84,0
1667,5,0
2225,3,0
2727,1,0
1165,16,0
527,199,0
2486,3,0
2008,3,0
788,49,0
2972,1,0
948,31,0
286,893,0
2406,3,0
25,31473,30
1426,5,0
2711,1,0
1928,3,0
1258,11,0
369,491,0
2190,3,0
1098,22,0
871,38,0
620,112,0
2692,1,0
1600,5,0
118,4881,1
2676,1,0
1915,3,0
1349,6,0
2441,3,0
1760,3,0
1509,5,0
2927,1,0
224,1546,0
1654,5,0
379,458,0
1905,3,0
2658,1,0
837,44,0
2973,1,0
586,145,0
2200,3,0
997,28,0
2451,3,0
1132,16,0
64,11664,3
1383,6,0
746,62,0
1644,5,0
736,67,0
2146,3,0
74,9653,2
1393,6,0
485,248,0
2712,1,0
2963,1,0
234,1414,0
2461,3,0
891,36,0
325,677,0
576,149,0
1895,3,0
1142,16,0
428,340,0
1131,16,0
950,31,0
412,372,0
2063,3,0
1930,3,0
2846,1,0
1914,3,0
2484,3,0
1669,5,0
1408,5,0
1392,6,0
2324,3,0
1211,13,0
609,118,0
2761,1,0
2745,1,0
2500,2,0
2585,1,0
167,2713,0
689,84,0
2303,3,0
2223,3,0
870,38,0
1653,5,0
151,3233,0
2726,1,0
857,39,0
2519,2,0
1997,3,0
1224,12,0
1017,28,0
606,120,0
335,629,0
1837,3,0
1746,3,0
1315,11,0
766,53,0
244,1299,0
2977,1,0
495,238,0
2566,1,0
2268,3,0
1475,5,0
1064,25,0
2359,3,0
84,8126,2
2108,3,0
2817,1,0
1586,5,0
2334,3,0
940,32,0
2233,3,0
663,93,0
177,2449,0
1418,5,0
2510,2,0
97,6667,1
924,33,0
358,534,0
2249,3,0
2575,1,0
2494,2,0
2073,3,0
2735,1,0
1904,3,0
2836,1,0
1723,3,0
1920,3,0
1643,5,0
438,318,0
679,86,0
1157,16,0
2815,1,0
2305,3,0
1074,24,0
254,1192,0
2465,3,0
756,59,0
1736,3,0
2620,1,0
1325,11,0
1007,28,0
2871,1,0
1234,12,0
1987,3,0
505,223,0
847,43,0
1827,3,0
94,6968,1
2214,3,0
2780,1,0
1485,5,0
596,133,0
2054,3,0
345,584,0
1576,5,0
2962,1,0
384,444,0
645,99,0
2440,3,0
1633,5,0
1175,15,0
2259,3,0
2978,1,0
1436,5,0
2179,3,0
1452,5,0
1191,15,0
2781,1,0
906,34,0
2701,1,0
187,2191,0
2520,2,0
1974,3,0
1713,4,0
2064,3,0
562,160,0
722,70,0
2586,1,0
813,47,0
40,19938,14
2475,3,0
1790,3,0
200,1911,0
2555,1,0
1359,6,0
1268,11,0
1108,20,0
973,29,0
2315,3,0
291,867,0
2837,1,0
2762,1,0
2240,3,0
1519,5,0
451,292,0
2746,1,0
2224,3,0
1630,5,0
1881,3,0
2041,3,0
2952,1,0
1703,4,0
2269,3,0
2466,3,0
699,80,0
2691,1,0
394,408,0
1201,15,0
1462,5,0
2771,1,0
2189,3,0
133,4019,1
1964,3,0
896,35,0
2827,1,0
2031,3,0
1369,6,0
2074,3,0
1278,11,0
712,75,0
963,30,0
2485,3,0
1871,3,0
1118,19,0
2736,1,0
2752,1,0
2325,3,0
210,1757,0
2576,1,0
803,48,0
226,1523,0
2501,2,0
2250,3,0
1780,3,0
301,796,0
2234,3,0
50,15629,8
1529,5,0
461,277,0
1620,5,0
552,171,0
2625,1,0
2428,3,0
1123,19,0
926,33,0
2886,1,0
2167,3,0
1645,5,0
1906,3,0
2785,1,0
404,384,0
665,93,0
1384,6,0
143,3555,0
1562,5,0
2654,1,0
1009,28,0
1722,3,0
471,267,0
1973,3,0
1813,3,0
1989,3,0
1531,5,0
2543,2,0
1291,11,0
1216,13,0
236,1393,0
758,57,0
2292,3,0
518,211,0
487,245,0
311,739,0
1040,28,0
929,33,0
2383,3,0
1738,3,0
678,86,0
2814,1,0
769,52,0
220,1600,0
2905,1,0
1451,5,0
1200,15,0
2132,3,0
60,12600,5
153,3155,0
1394,6,0
2374,3,0
2940,1,0
655,96,0
2273,3,0
916,33,0
414,368,0
2679,1,0
2113,3,0
1896,3,0
1635,5,0
2534,2,0
1133,16,0
1963,3,0
983,29,0
1050,25,0
246,1275,0
2804,1,0
572,151,0
2644,1,0
2553,1,0
497,235,0
2302,3,0
1712,4,0
6,86814,392
2142,3,0
166,2732,0
1803,3,0
2393,3,0
2043,3,0
1226,12,0
2895,1,0
823,47,0
1210,13,0
1461,5,0
1477,5,0
417,362,0
999,28,0
1301,11,0
748,62,0
1728,3,0
732,67,0
257,1162,1
1552,5,0
2805,1,0
360,524,0
2123,3,0
1689,5,0
2384,3,0
621,112,0
2906,1,0
2544,2,0
1167,16,0
2283,3,0
99,6463,1
882,37,0
2645,1,0
1950,3,0
1428,5,0
427,342,0
949,31,0
965,29,0
1793,3,0
698,80,0
2339,3,0
1260,11,0
2248,3,0
16,45362,77
538,187,0
2088,3,0
1702,4,0
2786,1,0
2499,2,0
714,75,0
192,2082,0
2610,1,0
1511,5,0
2033,3,0
1084,24,0
176,2474,0
1953,3,0
1335,8,0
507,222,0
1782,3,0
1244,12,0
1542,5,0
1495,5,0
267,1069,0
789,49,0
2861,1,0
2770,1,0
2795,1,0
2133,3,0
1177,15,0
370,491,0
109,5540,1
611,115,0
2635,1,0
2293,3,0
1438,5,0
2394,3,0
2554,1,0
2896,1,0
872,38,0
1940,3,0
1679,5,0
779,50,0
2007,3,0
1756,3,0
2851,1,0
704,76,0
2760,1,0
2509,2,0
1772,3,0
1441,5,0
453,288,0
1030,28,0
1281,11,0
2600,1,0
2023,3,0
939,32,0
688,84,0
1019,28,0
2258,3,0
202,1880,0
26,30340,28
1270,11,0
2349,3,0
1596,5,0
277,971,0
186,2208,0
1847,3,0
1521,5,0
2274,3,0
2098,3,0
1190,15,0
528,197,0
437,318,0
1882,3,0
1099,22,0
838,44,0
577,149,0
1781,3,0
1259,11,0
380,454,0
1520,5,0
2042,3,0
737,67,0
2452,3,0
2713,1,0
119,4818,1
1621,5,0
1360,6,0
2191,3,0
2974,1,0
998,28,0
985,29,0
287,887,0
2487,3,0
1443,5,0
1714,4,0
734,67,0
2694,1,0
1192,15,0
212,1723,0
463,273,0
2076,3,0
2945,1,0
2236,3,0
1965,3,0
1370,6,0
65,11455,3
1611,5,0
1269,11,0
2703,1,0
2201,3,0
631,109,0
2032,3,0
2462,3,0
326,667,0
486,246,0
225,1535,0
1530,5,0
1771,3,0
892,36,0
2964,1,0
1109,19,0
1872,3,0
2748,1,0
1293,11,0
799,49,0
2433,3,0
975,29,0
2839,1,0
222,1576,0
473,267,0
1042,28,0
1453,5,0
724,70,0
1704,4,0
2588,1,0
2182,3,0
1955,3,0
1202,15,0
1404,5,0
2669,1,0
2408,3,0
2147,3,0
1761,3,0
1601,5,0
2930,1,0
496,235,0
75,9468,2
2022,3,0
1143,16,0
597,132,0
1862,3,0
858,39,0
757,59,0
235,1405,0
336,626,0
1018,28,0
1598,5,0
168,2685,0
1758,3,0
2714,1,0
2443,3,0
2965,1,0
781,50,0
690,82,0
419,354,0
1236,12,0
8,73188,267
941,32,0
530,194,0
2192,3,0
259,1138,1
2009,3,0
1487,5,0
1849,3,0
1311,11,0
506,222,0
1350,6,0
1089,24,0
346,577,0
245,1290,0
2659,1,0
1655,5,0
587,145,0
2157,3,0
1916,3,0
85,8000,2
2418,3,0
1249,12,0
1008,28,0
2920,1,0
1510,5,0
747,62,0
848,43,0
1823,3,0
1748,3,0
178,2412,0
18,41469,67
2955,1,0
1839,3,0
1086,24,0
1246,12,0
429,337,0
1497,5,0
1588,5,0
2202,3,0
269,1045,0
771,51,0
1337,7,0
2453,3,0
2704,1,0
1999,3,0
931,33,0
680,86,0
520,208,0
1235,12,0
1512,5,0
1496,5,0
1075,24,0
1757,3,0
1251,12,0
2838,1,0
2215,3,0
553,171,0
2556,1,0
95,6859,1
2577,1,0
1773,3,0
2316,3,0
713,75,0
1794,3,0
974,29,0
255,1182,0
2295,3,0
452,291,0
2034,3,0
1954,3,0
2753,1,0
1597,5,0
2055,3,0
814,47,0
292,857,0
1336,7,0
188,2150,0
2873,1,0
646,99,0
28,28391,33
2782,1,0
279,965,0
2100,3,0
1419,5,0
2351,3,0
1690,5,0
1168,16,0
897,35,0
2335,3,0
439,316,0
2511,2,0
2260,3,0
2622,1,0
1941,3,0
2326,3,0
767,52,0
1587,5,0
302,792,0
1747,3,0
964,29,0
2241,3,0
462,274,0
2502,2,0
2828,1,0
2567,1,0
2024,3,0
1282,11,0
804,48,0
607,118,0
1261,11,0
2065,3,0
1522,5,0
41,19428,8
1848,3,0
1763,3,0
1085,24,0
2807,1,0
201,1893,0
1429,5,0
2847,1,0
2612,1,0
2270,3,0
791,49,0
540,184,0
134,3962,0
1178,15,0
2863,1,0
2521,2,0
1680,5,0
2361,3,0
385,442,0
2772,1,0
2110,3,0
1931,3,0
951,31,0
700,79,0
749,61,0
1316,11,0
1119,19,0
1010,28,0
573,151,0
488,245,0
2512,2,0
2773,1,0
2251,3,0
770,51,0
2075,3,0
1279,11,0
2874,1,0
1577,5,0
312,737,0
1838,3,0
51,15262,6
227,1506,0
666,91,0
1052,25,0
1303,11,0
1212,13,0
2307,3,0
2829,1,0
1463,5,0
395,408,0
1670,5,0
2467,3,0
2056,3,0
1921,3,0
2578,1,0
2738,1,0
917,33,0
2216,3,0
144,3518,0
563,159,0
258,1148,1
1000,28,0
2587,1,0
2603,1,0
1326,11,0
1828,3,0
2261,3,0
2763,1,0
824,47,0
2101,3,0
2864,1,0
61,12344,5
1065,24,0
2362,3,0
1631,5,0
739,65,0
237,1380,0
2522,2,0
498,235,0
1409,5,0
405,382,0
1975,3,0
2728,1,0
2477,3,0
907,34,0
2819,1,0
1724,3,0
154,3119,0
1815,3,0
1158,16,0
656,96,0
1564,5,0
2066,3,0
2568,1,0
2226,3,0
2979,1,0
2317,3,0
2862,1,0
966,29,0
348,571,0
7,79081,345
268,1053,0
1589,5,0
529,195,0
1328,11,0
1067,24,0
2143,3,0
508,220,0
2340,3,0
1227,12,0
2601,1,0
1488,5,0
87,7753,2
1749,3,0
1850,3,0
2010,3,0
247,1267,0
545,180,0
1051,25,0
790,49,0
705,76,0
806,48,0
2284,3,0
1395,6,0
1917,3,0
1602,5,0
1762,3,0
100,6363,1
2806,1,0
2646,1,0
415,365,0
2124,3,0
622,112,0
2375,3,0
873,38,0
2897,1,0
2535,2,0
1144,16,0
860,39,0
2089,3,0
1563,5,0
193,2067,0
2852,1,0
1020,28,0
1338,7,0
17,43356,80
1077,24,0
1579,5,0
519,211,0
294,842,0
1840,3,0
1498,5,0
454,287,0
33,24216,13
2000,3,0
759,55,0
1739,3,0
599,129,0
1237,12,0
278,968,0
2350,3,0
2655,1,0
780,50,0
2887,1,0
2636,1,0
1250,12,0
927,33,0
2545,2,0
1656,5,0
110,5468,1
2294,3,0
2134,3,0
1090,24,0
612,114,0
1907,3,0
361,519,0
1405,5,0
2796,1,0
2385,3,0
1729,3,0
464,272,0
1830,3,0
2360,3,0
565,157,0
1990,3,0
2621,1,0
27,29342,28
2099,3,0
43,18511,8
2115,3,0
2275,3,0
1532,5,0
1271,11,0
986,29,0
2898,1,0
725,70,0
1553,5,0
1292,11,0
304,779,0
2536,2,0
2376,3,0
1111,19,0
1031,28,0
2797,1,0
1372,6,0
2818,1,0
826,47,0
1814,3,0
1569,5,0
203,1867,0
2637,1,0
371,487,0
2602,1,0
893,36,0
2853,1,0
120,4747,0
2395,3,0
1897,3,0
738,66,0
2080,3,0
1439,5,0
578,147,0
1646,5,0
1124,19,0
1217,13,0
1041,28,0
976,29,0
1478,5,0
213,1705,0
2627,1,0
2386,3,0
314,731,0
2285,3,0
1318,11,0
1783,3,0
715,74,0
2611,1,0
1057,25,0
2125,3,0
2044,3,0
2109,3,0
539,185,0
2787,1,0
555,167,0
2872,1,0
53,14607,6
1543,5,0
1623,5,0
2546,2,0
2306,3,0
1302,11,0
