metric_type,month_dt,gray_actions,gray_sessions,gray_users,yellow_actions,yellow_sessions,yellow_users,share_yellow_actions,share_yellow_sessions,share_yellow_users
transfer_data,2022-01-01,196819,95760,38264,3231,2854,2381,0.0164160980393153,0.0298036758563074,0.0622255906334936
transfer_data,2022-02-01,354278,171619,54762,6135,5416,4415,0.0173169093197997,0.0315582773469138,0.0806215989189584
transfer_data,2022-03-01,505951,230961,66289,10158,8904,7120,0.0200770430338116,0.0385519633184823,0.107408468976753
transfer_data,2022-04-01,344914,180986,57899,5066,4465,3748,0.0146877192575541,0.0246704164963036,0.0647334150848892
transfer_data,2022-05-01,267477,148823,48832,3187,2856,2461,0.0119150431625897,0.0191905821008849,0.0503972804718218
transfer_data,2022-06-01,330272,186172,53050,3181,2817,2415,0.00963145528534057,0.0151311690264916,0.0455230914231857
no_transfer_data,2022-01-01,63371,52488,25096,49177,34062,24104,0.43694246010591,0.393552859618717,0.489918699186992
no_transfer_data,2022-02-01,104823,86979,37572,91652,61958,40455,0.466481740679476,0.416001396563648,0.518474374255066
no_transfer_data,2022-03-01,125646,105264,44328,124032,83274,50808,0.496767836974023,0.441682843776851,0.534056508577195
no_transfer_data,2022-04-01,92945,79136,36568,72413,48447,33097,0.437916520519116,0.379729274276353,0.475087920763655
no_transfer_data,2022-05-01,66648,57599,28223,56675,37234,26927,0.459565531166125,0.392627039110858,0.488250226654578
no_transfer_data,2022-06-01,84939,72909,32383,48742,31734,23608,0.36461426829542,0.303259654253032,0.421639192013002
total,2022-01-01,260190,148248,63360,52408,36916,26485,0.169403976506867,0.202490263836323,0.302810299094485
total,2022-02-01,459101,258598,92334,97787,67374,44870,0.177551461362898,0.210178564743758,0.337904495101251
total,2022-03-01,631597,336225,110617,134190,92178,57928,0.177587149249169,0.2197335392933,0.35885395694595
total,2022-04-01,437859,260122,94467,77479,52912,36845,0.151838627241942,0.171475423649168,0.288835408108871
total,2022-05-01,334125,206422,77055,59862,40090,29388,0.153178096212897,0.164535246412976,0.282625839087534
total,2022-06-01,415211,259081,85433,51923,34551,26023,0.111914353393555,0.11880748929732,0.238653350574555
