metric_type,month_dt,gray_actions,gray_sessions,gray_users,yellow_actions,yellow_sessions,yellow_users,share_yellow_actions,share_yellow_sessions,share_yellow_users
transfer_data,2022-07-01,258334,139842,40631,4030,3561,2941,0.0155999597420394,0.0254644527395203,0.07238315571854
transfer_data,2022-08-01,163519,84302,33728,5771,5083,4110,0.0352925348124683,0.0602951294156722,0.121857210626186
transfer_data,2022-09-01,100583,47844,24191,2716,2409,2096,0.027002574987821,0.050351141208929,0.0866437931462114
transfer_data,2022-10-01,42116,19825,12654,944,828,767,0.0224142843574888,0.041765447667087,0.0606132448237711
no_transfer_data,2022-07-01,76104,63327,26314,49852,33155,24065,0.395789005684525,0.343639228042536,0.477679191726712
no_transfer_data,2022-08-01,72925,54887,24931,83969,56523,36929,0.535195737249353,0.507342249349251,0.596977044940188
no_transfer_data,2022-09-01,90850,62291,26423,75579,49748,33216,0.454121577369329,0.444023955943912,0.556950988447157
no_transfer_data,2022-10-01,42282,27608,14644,30861,19844,15795,0.421926910299003,0.418191014077383,0.518906665790598
total,2022-07-01,334438,203169,66945,53882,36716,27006,0.140211819199042,0.155362976252941,0.296736622349192
total,2022-08-01,236444,139189,58659,89740,61606,41039,0.280076026877811,0.314778858731197,0.429332133740637
total,2022-09-01,191433,110135,50614,78295,52157,35312,0.293226521654457,0.326219798227454,0.421233448646069
total,2022-10-01,84398,47433,27298,31805,20672,16562,0.275943744089399,0.307266970881579,0.384331561970622
