lt_bucket,users,queries,search_res,move,cr_query_result,cr_result_move,cr_query_move
0,309,491,358,188,0.729124236252546,0.525139664804469,0.382892057026477
10,833,1427,1009,594,0.70707778556412,0.588701684836472,0.416257883672039
20,1184,2199,1498,842,0.681218735788995,0.562082777036048,0.382901318781264
30,1411,3041,2198,1346,0.722788556395922,0.612374886260237,0.442617560013154
40,1490,2890,2025,1187,0.700692041522491,0.586172839506173,0.410726643598616
50,1865,4084,2876,1605,0.704211557296768,0.558066759388039,0.392997061704212
60,1644,3623,2545,1481,0.702456527739442,0.581925343811395,0.408777256417334
70,2196,5271,3677,2254,0.697590590020869,0.612999728039162,0.427622841965471
80,1982,4647,3306,1988,0.711426726920594,0.601330913490623,0.427802883580805
90,2759,6268,4380,2601,0.698787492022974,0.593835616438356,0.414964901084876
100,2411,5805,4057,2400,0.698880275624462,0.591570125708652,0.41343669250646
110,2485,6508,4703,2892,0.722649047326368,0.614926642568573,0.444376152427781
120,1885,4580,3214,1896,0.70174672489083,0.589919103920349,0.413973799126638
130,2568,6493,4638,2751,0.714307716001848,0.593143596377749,0.423687047589712
140,3489,9137,6355,3930,0.695523694867024,0.618410700236035,0.430119295173471
150,3207,8843,6196,3937,0.700667194391044,0.635409941897999,0.445210901277847
160,3623,9178,6262,3796,0.682283721943779,0.606196103481316,0.413597733711048
170,3558,9286,6443,4075,0.69384018953263,0.632469346577681,0.438832651303037
180,4116,11965,8703,6077,0.727371500208943,0.698264966103642,0.507898035938153
190,1538,3893,2585,1563,0.664012329822759,0.604642166344294,0.401489853583355
