program_product_cd,country_nm,mnth,users
SMB,Iraq,2022-07-01,6
SMB,Gabon,2022-06-01,1
SMB,Greenland,2022-09-01,4
SMB,United Kingdom,2022-09-01,14966
SMB,Norway,2022-09-01,503
MPL,Netherlands,2022-08-01,847290
SMB,Trinidad and Tobago,2022-06-01,1
MPL,Uzbekistan,2022-09-01,26477
SMB,Fiji,2022-08-01,1
MPL,El Salvador,2022-06-01,18
MPL,North Korea,2022-07-01,1
MPL,Gabon,2022-07-01,20
SMB,Kuwait,2022-08-01,1
MPL,United States,2022-08-01,599642
MPL,Anguilla,2022-07-01,0
MPL,Iraq,2022-06-01,524
SMB,Ghana,2022-07-01,11
MPL,Honduras,2022-06-01,16
SMB,Zimbabwe,2022-07-01,2
SMB,Singapore,2022-07-01,3129
SMB,Kyrgyzstan,2022-09-01,1104
MPL,Panama,2022-08-01,240
MPL,Ghana,2022-06-01,255
MPL,Israel,2022-09-01,18166
MPL,Barbados,2022-09-01,16
SMB,Luxembourg,2022-08-01,574
MPL,Hong Kong,2022-09-01,14074
MPL,Mozambique,2022-08-01,44
MPL,Equatorial Guinea,2022-07-01,9
MPL,Austria,2022-07-01,21911
MPL,Chad,2022-09-01,11
MPL,Trinidad and Tobago,2022-09-01,9
MPL,Croatia,2022-06-01,1551
MPL,Saudi Arabia,2022-09-01,20491
MPL,Guyana,2022-06-01,32
SMB,Kenya,2022-09-01,19
SMB,Croatia,2022-07-01,196
MPL,Benin,2022-08-01,38
MPL,Belarus,2022-08-01,79081
SMB,Austria,2022-06-01,1523
SMB,Denmark,2022-08-01,953
MPL,Pakistan,2022-09-01,139
MPL,Somalia,2022-09-01,13
SMB,Vietnam,2022-07-01,129
SMB,Slovenia,2022-09-01,94
SMB,Iran,2022-07-01,25
SMB,Mexico,2022-07-01,169
MPL,Afghanistan,2022-09-01,59
MPL,Guinea-Bissau,2022-06-01,9
SMB,Zambia,2022-06-01,1
SMB,Ecuador,2022-08-01,9
SMB,Martinique,2022-06-01,2
MPL,Malaysia,2022-08-01,2929
